#Oplandene, incl. Hamar

owner = VES
controller = VES
add_core = VES
culture = norwegian
religion = norse_pagan_reformed
hre = no
base_tax = 1
base_production = 1
trade_goods = naval_supplies
base_manpower = 1
capital = "Hamar"
is_city = yes
discovered_by = western
discovered_by = eastern
discovered_by = muslim
discovered_by = ottoman


discovered_by = greek_tech
discovered_by = roman_tech
discovered_by = germanic_tech
discovered_by = celtic_tech
discovered_by = slavic_tech
discovered_by = semitic_tech
discovered_by = persian_tech
